iter	Passed	Remaining
402	11602	17187
403	11651	17189
404	11684	17166
405	11717	17143
406	11749	17118
407	11779	17092
408	11807	17061
409	11834	17030
410	11860	16997
411	11887	16965
412	11916	16936
413	11947	16911
414	11975	16881
415	12001	16848
416	12030	16819
417	12064	16797
418	12091	16766
419	12116	16732
420	12147	16706
421	12174	16675
422	12199	16641
423	12232	16618
424	12263	16591
425	12292	16562
426	12334	16552
427	12364	16525
428	12392	16494
429	12417	16460
430	12444	16429
431	12472	16398
432	12497	16365
433	12531	16342
434	12570	16326
435	12602	16302
436	12636	16279
437	12669	16255
438	12697	16225
439	12725	16195
440	12755	16168
441	12784	16139
442	12808	16105
443	12832	16069
444	12858	16037
445	12885	16005
446	12913	15975
447	12944	15949
448	12975	15923
449	13004	15894
450	13029	15860
451	13057	15830
452	13084	15800
453	13112	15769
454	13136	15735
455	13160	15700
456	13193	15675
457	13221	15646
458	13248	15615
459	13274	15583
460	13303	15553
461	13326	15518
462	13353	15488
463	13379	15455
464	13411	15430
465	13439	15400
466	13463	15366
467	13491	15336
468	13521	15309
469	13548	15277
470	13576	15248
471	13609	15224
472	13640	15197
473	13672	15171
474	13704	15147
475	13772	15161
476	13806	15137
477	13836	15110
478	13862	15077
479	13889	15046
480	13914	15014
481	13944	14985
482	13971	14954
483	13998	14923
484	14027	14895
485	14058	14867
486	14087	14840
487	14116	14811
488	14146	14782
489	14174	14752
490	14202	14722
491	14231	14694
492	14257	14662
493	14285	14632
494	14310	14599
495	14341	14573
496	14370	14543
497	14397	14513
498	14424	14482
499	14458	14458
500	14488	14430
501	14515	14400
502	14546	14372
503	14574	14343
504	14604	14314
505	14635	14288
506	14663	14258
507	14690	14228
508	14720	14199
509	14757	14178
510	14794	14157
511	14825	14131
512	14855	14102
513	14884	14074
514	14911	14042
515	14940	14014
516	14971	13986
517	15001	13958
518	15026	13926
519	15055	13897
520	15087	13871
521	15115	13841
522	15140	13808
523	15169	13780
524	15196	13749
525	15222	13717
526	15252	13689
527	15283	13662
528	15311	13632
529	15337	13601
530	15364	13570
531	15393	13541
532	15418	13509
533	15444	13477
534	15468	13444
535	15499	13417
536	15527	13387
537	15551	13354
538	15583	13328
539	15613	13300
540	15646	13275
541	15675	13246
542	15702	13215
543	15730	13185
544	15759	13157
545	15787	13127
546	15862	13136
547	15902	13116
548	15935	13090
549	15963	13060
550	15989	13029
551	16013	12996
552	16039	12965
553	16063	12932
554	16089	12900
555	16118	12871
556	16145	12841
557	16173	12811
558	16201	12781
559	16231	12753
560	16260	12724
561	16285	12692
562	16315	12663
563	16341	12633
564	16364	12599
565	16395	12571
566	16429	12546
567	16456	12516
568	16482	12484
569	16509	12454
570	16538	12425
571	16564	12394
572	16592	12364
573	16617	12332
574	16648	12305
575	16679	12278
576	16708	12248
577	16741	12222
578	16771	12194
579	16798	12164
580	16831	12138
581	16864	12112
582	16891	12082
583	16918	12051
584	16947	12022
585	16985	11999
586	17015	11971
587	17044	11943
588	17079	11917
589	17108	11889
590	17137	11859
591	17161	11827
592	17193	11800
593	17220	11770
594	17245	11738
595	17276	11710
596	17305	11681
597	17329	11649
598	17353	11617
599	17378	11585
600	17404	11554
601	17427	11521
602	17454	11491
603	17478	11459
604	17512	11433
605	17541	11404
606	17568	11374
607	17596	11345
608	17628	11318
609	17656	11288
610	17686	11260
611	17718	11233
612	17748	11205
613	17774	11174
614	17804	11145
615	17830	11115
616	17858	11085
617	17903	11066
618	17948	11047
619	17976	11017
620	18006	10989
621	18034	10960
622	18065	10932
623	18098	10905
624	18131	10878
625	18157	10848
626	18184	10817
627	18211	10787
628	18241	10759
629	18267	10728
630	18294	10698
631	18322	10668
632	18347	10637
633	18373	10606
634	18400	10576
635	18427	10546
636	18460	10519
637	18486	10489
638	18514	10459
639	18542	10429
640	18569	10400
641	18595	10369
642	18624	10340
643	18655	10312
644	18683	10282
645	18713	10254
646	18742	10225
647	18775	10199
648	18803	10169
649	18830	10139
650	18857	10109
651	18885	10079
652	18917	10052
653	18945	10023
654	18979	9996
655	19006	9966
656	19033	9936
657	19060	9906
658	19089	9877
659	19119	9849
660	19150	9821
661	19184	9794
662	19217	9768
663	19245	9738
664	19275	9710
665	19305	9681
666	19333	9652
667	19359	9621
668	19393	9595
669	19422	9566
670	19448	9535
671	19475	9505
672	19503	9476
673	19529	9446
674	19553	9414
675	19578	9383
676	19611	9356
677	19636	9326
678	19664	9296
679	19693	9267
680	19727	9241
681	19757	9212
682	19785	9183
683	19815	9154
684	19840	9123
685	19870	9095
686	19899	9066
687	19927	9037
688	19952	9005
689	19982	8977
690	20050	8966
691	20081	8937
692	20111	8909
693	20140	8880
694	20169	8851
695	20193	8820
696	20220	8790
697	20250	8761
698	20281	8733
699	20309	8703
700	20342	8676
701	20371	8647
702	20402	8619
703	20430	8589
704	20456	8559
705	20497	8535
706	20529	8507
707	20560	8479
708	20590	8451
709	20617	8421
710	20644	8391
711	20672	8361
712	20700	8332
713	20726	8302
714	20757	8273
715	20786	8245
716	20814	8215
717	20840	8185
718	20870	8156
719	20898	8127
720	20924	8096
721	20956	8069
722	21004	8047
723	21033	8018
724	21063	7989
725	21090	7959
726	21117	7929
727	21143	7899
728	21172	7870
729	21199	7840
730	21224	7810
731	21252	7780
732	21284	7753
733	21311	7723
734	21337	7693
735	21371	7665
736	21405	7638
737	21438	7611
738	21467	7581
739	21495	7552
740	21520	7521
741	21548	7492
742	21575	7462
743	21606	7434
744	21634	7405
745	21662	7375
746	21689	7346
747	21716	7316
748	21745	7287
749	21779	7259
750	21811	7231
751	21838	7201
752	21867	7173
753	21899	7144
754	21929	7116
755	21954	7085
756	21981	7056
757	22008	7026
758	22035	6996
759	22063	6967
760	22117	6946
761	22151	6918
762	22184	6890
763	22213	6861
764	22238	6831
765	22264	6801
766	22291	6771
767	22317	6741
768	22349	6713
769	22377	6684
770	22402	6654
771	22433	6625
772	22466	6597
773	22500	6570
774	22539	6543
775	22568	6514
776	22596	6485
777	22623	6455
778	22653	6426
779	22683	6397
780	22712	6368
781	22738	6338
782	22768	6309
783	22799	6281
784	22831	6253
785	22862	6224
786	22889	6195
787	22917	6165
788	22946	6136
789	22980	6108
790	23009	6079
791	23033	6049
792	23064	6020
793	23092	5991
794	23126	5963
795	23158	5934
796	23187	5905
797	23214	5876
798	23242	5847
799	23267	5816
800	23298	5788
801	23325	5758
802	23351	5728
803	23378	5699
804	23406	5669
805	23433	5640
806	23466	5612
807	23497	5583
808	23525	5554
809	23555	5525
810	23584	5496
811	23620	5468
812	23652	5440
813	23681	5411
814	23711	5382
815	23741	5353
816	23781	5326
817	23811	5297
818	23843	5269
819	23872	5240
820	23902	5211
821	23931	5182
822	23961	5153
823	23990	5124
824	24018	5094
825	24049	5066
826	24081	5037
827	24112	5008
828	24143	4980
829	24170	4950
830	24222	4926
831	24257	4898
832	24288	4869
833	24315	4839
834	24345	4810
835	24376	4781
836	24402	4752
837	24426	4722
838	24453	4692
839	24476	4662
840	24501	4632
841	24526	4602
842	24555	4573
843	24582	4543
844	24611	4514
845	24640	4485
846	24673	4456
847	24704	4428
848	24736	4399
849	24771	4371
850	24796	4341
851	24822	4311
852	24847	4282
853	24885	4254
854	24913	4225
855	24942	4195
856	24969	4166
857	24997	4137
858	25024	4107
859	25050	4078
860	25077	4048
861	25106	4019
862	25133	3989
863	25160	3960
864	25189	3931
865	25221	3902
866	25251	3873
867	25276	3843
868	25304	3814
869	25331	3785
870	25358	3755
871	25383	3726
872	25410	3696
873	25440	3667
874	25468	3638
875	25495	3609
876	25528	3580
877	25555	3550
878	25580	3521
879	25609	3492
880	25639	3463
881	25666	3433
882	25692	3404
883	25723	3375
