iter	Logloss
159	0.3838071447
160	0.3836686686
161	0.3836177158
162	0.3834697159
163	0.3832020891
164	0.3830081664
165	0.3827113574
166	0.3825793269
167	0.3825504845
168	0.3824555173
169	0.3822074765
170	0.3818096665
171	0.3815329326
172	0.3814067065
173	0.3812413204
174	0.3811078356
175	0.3809619367
176	0.3808374915
177	0.3804744226
178	0.3803974536
179	0.3802620236
180	0.3801207248
181	0.3798717243
182	0.3797252307
183	0.3795714073
184	0.3794029871
185	0.3791167005
186	0.3788965436
187	0.3785561659
188	0.378398793
189	0.3783071588
190	0.3778487367
191	0.3776544725
192	0.3774842044
193	0.3772293033
194	0.377142086
195	0.3771420804
196	0.3768663138
197	0.3765731918
198	0.3763572052
199	0.3762628512
200	0.3759188711
201	0.3757782954
202	0.3755197823
203	0.3751428947
204	0.3750561969
205	0.3749522335
206	0.3747681937
207	0.3745805713
208	0.3743739213
209	0.3743509857
210	0.3741599719
211	0.3740279033
212	0.3739050467
213	0.373710527
214	0.3734215746
215	0.3732532913
216	0.3731193294
217	0.3730572616
218	0.3728257972
219	0.3724429849
220	0.3723795377
221	0.3722094312
222	0.3719253672
223	0.371602044
224	0.3714758603
225	0.3712408636
226	0.3709645049
227	0.3708231547
228	0.3707081463
229	0.3705981294
230	0.3705014042
231	0.3703363417
232	0.370043743
233	0.3695263444
234	0.369361249
235	0.3691786642
236	0.3689991958
237	0.3689428902
238	0.3687996253
239	0.3686399849
240	0.3681844252
241	0.3678507883
242	0.3675691263
243	0.3671532518
244	0.3670881603
245	0.3668717213
246	0.3666714399
247	0.3664458882
248	0.3663403948
249	0.3661238422
250	0.3659850452
251	0.3659008678
252	0.3657991587
253	0.3655885003
254	0.3653351748
255	0.365234765
256	0.3650578738
257	0.3648181185
258	0.3646224034
259	0.364354743
260	0.3641704493
261	0.3638204515
262	0.3635052959
263	0.3633170543
264	0.3629565557
265	0.362888275
266	0.3626398009
267	0.3625125004
268	0.3623542312
269	0.3622230554
270	0.3620264799
271	0.3618343736
272	0.3614759158
273	0.3612779836
274	0.3610758905
275	0.3605365905
276	0.3605057134
277	0.3604356366
278	0.3601866668
279	0.3600808819
280	0.3599580403
281	0.3598904718
282	0.3597214058
283	0.3595982006
284	0.3594137489
285	0.3592878595
286	0.359078904
287	0.3589313221
288	0.3587242028
289	0.3586342426
290	0.3585625999
291	0.3583889689
292	0.3581093371
293	0.3578977538
294	0.3577038119
295	0.3574219838
296	0.3572846726
297	0.3572575548
298	0.3571889216
299	0.3571580401
300	0.3568181145
301	0.3566982542
302	0.356511178
303	0.3563041689
304	0.3562277585
305	0.3562029665
306	0.3558463859
307	0.3557221173
308	0.3554683715
309	0.355217074
310	0.3550305854
311	0.3548431713
312	0.3547246971
313	0.3547147573
314	0.3546521975
315	0.3544578634
316	0.3542313564
317	0.3539099296
318	0.3537848059
319	0.3536299903
320	0.3534487747
321	0.3533319024
322	0.3531801551
323	0.3529173168
324	0.3527069083
325	0.3526311722
326	0.352302132
327	0.3521399461
328	0.3519070412
329	0.351671828
330	0.351547214
331	0.3512489083
332	0.3511497934
333	0.3510325452
334	0.3508023288
335	0.3507352522
336	0.350581241
337	0.3505066234
338	0.3502044113
339	0.3500441192
340	0.3499309088
341	0.3498034756
342	0.349511041
343	0.3494503726
344	0.3493856126
345	0.349269097
346	0.3490310979
347	0.3489297547
348	0.3487856058
349	0.348432816
350	0.3482004032
351	0.3481523019
352	0.3480171971
353	0.3478678927
354	0.3476962347
355	0.3475588554
356	0.3475270388
357	0.3472688623
358	0.3471799028
359	0.3469333595
360	0.3467995901
361	0.3466062779
362	0.3465179503
363	0.3463598332
364	0.3462291375
365	0.3460311118
366	0.3456708757
367	0.3454460629
368	0.3452610392
369	0.3449132532
370	0.3449045057
371	0.3448206592
372	0.3447308779
373	0.3446204771
374	0.3445335175
375	0.3443947407
376	0.344349935
377	0.3441492951
378	0.3440554551
379	0.343832291
380	0.3436747185
381	0.3435170895
382	0.3433013465
383	0.3429317751
384	0.3428196903
385	0.3427221554
386	0.3425568819
387	0.3423449528
388	0.3422370586
389	0.3421077803
390	0.3420101484
391	0.3419440971
392	0.3418276817
393	0.3416654536
394	0.3415716468
395	0.3414375256
396	0.3412845303
397	0.3410083777
398	0.3407519649
399	0.3406668854
400	0.3406403385
401	0.340342249
402	0.3402131678
403	0.340073715
404	0.3399961292
405	0.339917578
406	0.3398092291
407	0.3397299328
408	0.3396815843
409	0.3395897611
410	0.3394681282
411	0.3393521097
412	0.3391762117
413	0.3390462151
414	0.3387963725
415	0.3384519341
416	0.3382689561
417	0.3380208642
418	0.3377312843
419	0.3373929108
420	0.3371723737
421	0.3371212632
422	0.3370171244
423	0.3369136395
424	0.3366680542
425	0.3365622886
426	0.3364787482
427	0.3361669026
428	0.3360705162
429	0.3360414092
430	0.3359003323
431	0.3357642569
432	0.3357462671
433	0.335622803
434	0.3354526493
435	0.3352210607
436	0.3351820986
437	0.3350054526
438	0.3348067688
439	0.3346490093
440	0.334529563
441	0.3343836884
442	0.3341084859
443	0.3340777257
444	0.3340212974
445	0.3339018437
446	0.3336894285
447	0.3334809731
448	0.3333373938
449	0.3332225139
450	0.3331733551
451	0.3328833825
452	0.3326859573
453	0.3325538804
454	0.3324571048
455	0.3323528032
456	0.3321906749
457	0.331895351
458	0.3317170006
459	0.3315399302
460	0.3313197668
461	0.3312474639
462	0.3310931364
463	0.3309064688
464	0.3308679701
465	0.3307965088
466	0.3307604125
467	0.3306585397
468	0.3305786292
469	0.3304339326
470	0.3303418288
471	0.3301631002
472	0.3300325692
473	0.3296974175
474	0.3294722261
475	0.3293860224
476	0.3292564491
477	0.3290102356
478	0.3289341297
479	0.3287188285
480	0.3286790626
481	0.3286588602
482	0.3284336687
483	0.3282954115
484	0.3279970783
485	0.3277964642
486	0.3277142982
487	0.3275840664
488	0.3274920926
489	0.3272818438
490	0.3270552295
491	0.3269697306
492	0.3268593523
493	0.3267971084
494	0.3266942315
495	0.3266148891
496	0.3264546911
497	0.3263621778
498	0.3261035509
499	0.3260319417
500	0.3259271617
501	0.3258078052
502	0.3257478194
503	0.3257179422
504	0.3255684553
505	0.3254427793
506	0.325324967
507	0.3250201358
508	0.3249950458
509	0.324896499
510	0.3248240156
511	0.3246857959
512	0.3244373984
513	0.3243196315
514	0.3240620283
515	0.3240354462
516	0.3239416502
517	0.3237404539
518	0.3237101318
519	0.3236139305
520	0.3234146376
521	0.3230606253
522	0.3230128492
523	0.3227921147
524	0.3225733584
525	0.322390924
526	0.3222591047
527	0.3221308826
528	0.3220012441
529	0.3218954399
530	0.3218473976
531	0.3215954088
532	0.3215750292
533	0.3214492307
534	0.3212914575
535	0.3210054235
536	0.3209150277
537	0.3208331258
538	0.3207536949
539	0.3206236654
540	0.3205036821
541	0.3204177664
542	0.3202052883
543	0.3200465051
544	0.3198998364
545	0.3198608295
546	0.3195970426
547	0.3194946961
548	0.3194013579
549	0.3193281707
550	0.3191245632
551	0.3190615668
552	0.3188662119
553	0.318787674
554	0.3186504406
555	0.3184188434
556	0.3181522808
557	0.3179790614
558	0.317943845
559	0.3178192065
560	0.3175523283
561	0.3173546108
562	0.3171889718
563	0.3169732796
564	0.3167845226
565	0.3167185595
566	0.316686125
567	0.3165554459
568	0.3165065881
569	0.3164007345
570	0.3161742413
571	0.3161587311
572	0.3161324647
573	0.3160028231
574	0.3158495315
575	0.3157863594
576	0.3156041143
577	0.315345193
578	0.3153093095
579	0.3150596076
580	0.3149593783
581	0.3149286907
582	0.3147252485
583	0.3144632121
584	0.3143108468
585	0.3142825353
586	0.3142031537
587	0.3141730743
588	0.3140678642
589	0.3140575263
590	0.3139122415
591	0.3138472623
592	0.3136704338
593	0.3136130667
594	0.313466335
595	0.3133643644
596	0.3131042288
597	0.3130852278
598	0.3130307146
599	0.312920985
600	0.312676355
601	0.3125302067
602	0.3124129574
603	0.312165432
604	0.3120422295
605	0.3119292636
606	0.3117395487
607	0.3116615562
608	0.3115854796
609	0.3114047111
610	0.3112254003
611	0.3111645346
612	0.3109560225
613	0.3108108573
614	0.3108062681
615	0.3107669133
616	0.3105073216
617	0.3104492366
618	0.3104224135
619	0.3103356368
620	0.3102826007
621	0.3101689729
622	0.310094609
623	0.309901655
624	0.3096672006
625	0.3094306675
626	0.3092869
627	0.3092377952
628	0.309000315
629	0.3088868618
630	0.3087344168
631	0.3087064129
632	0.3084763881
633	0.308350951
634	0.3082503221
635	0.3082079225
636	0.3081446553
637	0.3078677959
638	0.3077364789
639	0.3075815822
640	0.307407865
641	0.3072466519
642	0.3071059805
643	0.30678079
644	0.3066401326
645	0.306606442
646	0.3064866428
647	0.3064467464
648	0.3064120072
649	0.3063220559
650	0.306256519
651	0.3061317797
652	0.3060036624
653	0.3058444994
654	0.3057441797
655	0.30551611
656	0.3053969087
657	0.3052820229
658	0.3051910156
659	0.3051591504
660	0.305110303
661	0.3048503661
662	0.3048005052
663	0.3046425218
664	0.3045944662
665	0.304498429
666	0.3043648095
667	0.3041772747
668	0.3040986744
669	0.3039682477
670	0.3038392619
671	0.3037083678
672	0.3035638665
673	0.3035033239
674	0.3033473042
675	0.3032839771
676	0.303153793
677	0.3029856886
678	0.3028455429
679	0.3027549009
680	0.3025237419
681	0.3023596567
682	0.3022928976
683	0.3021978246
684	0.3020038851
685	0.3018993157
686	0.301834259
687	0.3017489136
688	0.3016596274
689	0.3015899278
690	0.3014164637
691	0.3013518312
692	0.3012382575
693	0.3011675295
694	0.3010618026
695	0.3009849059
696	0.300958719
697	0.3008805091
698	0.3008574075
699	0.3006126132
700	0.3005964563
701	0.3005056086
702	0.3004087829
703	0.30031251
704	0.3002843585
705	0.3001840765
706	0.3001153806
707	0.2999139786
708	0.2997933671
709	0.2996825859
710	0.2996462922
711	0.2994971827
712	0.2994054496
713	0.2993249699
714	0.2991809322
715	0.2990908618
716	0.2989172323
717	0.2987359089
718	0.2986509984
719	0.2985153367
720	0.2983184186
721	0.2982830656
722	0.2982165186
723	0.2981035733
724	0.2979776884
725	0.2979200164
726	0.2977723744
727	0.2976507833
728	0.2974822598
729	0.2973586365
730	0.2971618198
731	0.2970463378
732	0.2969195613
733	0.296690336
734	0.2966066928
735	0.2965102117
736	0.2964907689
737	0.2964007565
738	0.2963517428
739	0.29623582
740	0.2960737034
741	0.2960070804
742	0.2958813927
743	0.2958019544
744	0.2957374285
745	0.2956620168
746	0.2955034005
747	0.2954751045
748	0.2953603895
749	0.2952547024
750	0.295104996
751	0.294885892
752	0.2946593631
753	0.2945872199
754	0.2945265246
755	0.2943140397
756	0.2942710492
757	0.2942387295
758	0.2941896349
759	0.294070292
760	0.2939222575
761	0.2937883825
762	0.2937367533
763	0.2936273948
764	0.2935840888
765	0.2935118416
766	0.2933306796
767	0.2932302688
768	0.2931189537
769	0.2930051592
770	0.2928906997
771	0.2927875534
772	0.2926546792
773	0.2925827944
774	0.2924419628
775	0.2923219176
776	0.2921772446
777	0.292078701
778	0.2920681705
779	0.2920243297
780	0.291862716
781	0.291717236
782	0.2916271513
783	0.2915270862
784	0.2913807138
785	0.2912395526
786	0.2910982786
787	0.290964608
788	0.2909087914
789	0.2908687011
790	0.2907500504
791	0.2906967118
792	0.290590568
793	0.2904734689
794	0.2903719276
795	0.2902713
796	0.2902011889
797	0.290014624
798	0.2899362163
799	0.2898463708
800	0.2896777067
801	0.2896203678
802	0.2895260336
803	0.2894575133
804	0.2894172469
805	0.2893121602
806	0.2892488073
807	0.2890455019
808	0.2889436467
809	0.2887126875
810	0.2886017327
811	0.2884323248
812	0.2884007807
813	0.2882167717
814	0.2880286833
815	0.287936531
816	0.2879320322
817	0.2878160993
818	0.2875684376
819	0.287526805
820	0.2874008239
821	0.287270357
822	0.2872382028
823	0.2871087862
824	0.2870705357
825	0.2868744803
826	0.2867819171
827	0.2866506403
828	0.2865415878
829	0.2863769502
830	0.2863173802
831	0.2862663206
832	0.2861981296
833	0.2860498638
834	0.2858806484
835	0.2857492901
836	0.2855030139
837	0.2854267567
838	0.2853274267
839	0.2852461025
840	0.2850789179
841	0.2850222262
842	0.284958368
843	0.2848108338
844	0.2847300828
845	0.2846430931
846	0.2845192993
847	0.2843242593
848	0.2842467431
849	0.2841912012
850	0.2841902312
851	0.2841655462
852	0.2840559079
853	0.283890858
854	0.2837506066
855	0.2836001636
856	0.2835763064
857	0.2833979473
858	0.2833470102
859	0.2832842549
860	0.2832482944
861	0.2831941199
862	0.2830973248
863	0.2829702437
864	0.2828685065
865	0.2828038301
866	0.2827321
867	0.2826108273
868	0.2825522743
869	0.2824957481
870	0.2823787736
871	0.2822438449
872	0.2821152418
873	0.2820608673
874	0.2819854075
875	0.2818845307
876	0.2817781519
877	0.2817232654
878	0.2816001191
879	0.2814964554
880	0.2813786517
881	0.2812950517
882	0.2811010044
883	0.2809603736
884	0.2806772659
885	0.2805298245
886	0.2804289438
887	0.2802125931
888	0.2800327188
889	0.2799584685
890	0.2796815847
891	0.2794495083
892	0.2792949422
893	0.2792018409
894	0.2790822647
895	0.2789595005
896	0.2788932755
897	0.2787052313
898	0.278528453
899	0.2784389269
900	0.2783250285
901	0.2782946246
902	0.2782121395
903	0.2780590456
904	0.2779368804
905	0.2778413902
906	0.2777206913
907	0.277665585
908	0.277535819
909	0.2774853742
910	0.2774520112
911	0.2773179502
912	0.2772698582
913	0.2771642253
914	0.2770446175
915	0.2768086821
916	0.276627322
917	0.2764746198
918	0.2763958321
919	0.2763948738
920	0.2763028348
921	0.2762511434
922	0.2761575458
923	0.2761246322
924	0.2760294246
925	0.2759177053
926	0.2758395981
927	0.2757915986
928	0.2755350169
929	0.2755080554
930	0.2754592464
931	0.27537364
932	0.2753479965
933	0.2752073856
934	0.274982906
935	0.2748002186
936	0.2746298445
937	0.2744608688
938	0.2743703543
939	0.2743464871
940	0.2742537278
941	0.2740412907
942	0.2740363871
943	0.273828436
944	0.2736058437
945	0.2735819588
946	0.2733928787
947	0.2733680842
948	0.2732787177
949	0.2731551186
950	0.273090042
951	0.2729867204
952	0.2728064223
953	0.2726715447
954	0.2726066813
955	0.2724975458
956	0.2723386866
957	0.2722132502
958	0.2720717341
959	0.2720648602
960	0.2719954819
961	0.2719391547
962	0.2717480764
963	0.2715807705
964	0.2714274505
965	0.2712761862
966	0.2711737756
967	0.2710524888
968	0.2709519234
969	0.2709299466
970	0.2708158435
971	0.2706957026
972	0.2704939487
973	0.2704258441
974	0.2703466112
975	0.2702400374
976	0.2701343848
977	0.2701006265
978	0.2700686932
979	0.2700484566
980	0.2699692093
981	0.2699486527
982	0.2698418589
983	0.2697756482
984	0.2696588311
985	0.2696045016
986	0.2694940868
987	0.2694482006
988	0.2694200806
989	0.2693214302
990	0.2692912997
991	0.2692170993
992	0.2690909432
993	0.2689619832
994	0.2688626538
995	0.2686457255
996	0.2684876976
997	0.2684225121
998	0.2683600541
999	0.2683198017
